date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:16	88145/88145	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/js/vendor/jquery-3.4.1.min.js	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/js/vendor/jquery-3.4.1.min.js	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:16	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Apr%202025%2011:06:16%20GMT	https://demo.zytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/dahur/Downloads/fam/demo.zytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:18	19822/19822	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/js/functions.js	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/js/functions.js	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:18	22230/22230	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/Flaticon.eot	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/Flaticon.eot	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:19	244145/244145	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/js/vendor.min.js	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/js/vendor.min.js	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:19	22230/22230	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/Flaticon.eot?	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/Flaticond41d.eot	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:20	12856/12856	---M--	200	added ('OK')	font/woff	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/Flaticon.woff	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/Flaticon.woff	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:21	22052/22052	---MCZ	200	added ('OK')	font/ttf	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/Flaticon.ttf	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/Flaticon.ttf	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:21	3416/3416	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2011:06:21%20GMT	https://demo.zytheme.com/equita/assets/fonts/Flaticon.svg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/Flaticon.svg	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:21	3416/3416	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2011:06:22%20GMT	https://demo.zytheme.com/equita/assets/css/Flaticon.svg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/css/Flaticon.svg	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:22	131930/131930	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/fa-brands-400.eot	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/fa-brands-400.eot	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:23	75936/75936	---M--	200	added ('OK')	font/woff2	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/fa-brands-400.woff2	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/fa-brands-400.woff2	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:23	131930/131930	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/fa-brands-400.eot?	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/fa-brands-400d41d.eot	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:25	131624/131624	---MCZ	200	added ('OK')	font/ttf	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/fa-brands-400.ttf	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/fa-brands-400.ttf	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:25	457033/457033	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/background/1.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/background/1.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:25	89100/89100	---M--	200	added ('OK')	font/woff	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/fa-brands-400.woff	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/fa-brands-400.woff	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
12:06:25	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/fonts/fa-regular-400.eot	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/fonts/fa-regular-400.eot	(from https://demo.zytheme.com/equita/assets/css/vendor.min.css)
